#Mass value    Hgg width   HZZ width   Htot width 
482   0.0380514   15.54   59.963
483   0.0381939   15.6576   60.3968
484   0.0383358   15.7759   60.832
485   0.0384773   15.8949   61.2688
486   0.0386181   16.0146   61.707
487   0.0387584   16.1349   62.1467
488   0.0388982   16.2559   62.588
489   0.0390374   16.3774   63.0307
490   0.039176   16.4995   63.475
491   0.039314   16.6222   63.9207
492   0.0394514   16.7455   64.368
493   0.0395882   16.8692   64.8167
494   0.0397244   16.9935   65.267
495   0.03986   17.1182   65.7188
496   0.0399949   17.2434   66.172
497   0.0401292   17.369   66.6268
498   0.0402628   17.4949   67.083
499   0.0403957   17.6213   67.5408
500   0.040528   17.748   68
501   0.0406579   17.8714   68.4599
502   0.0407872   17.9951   68.9214
503   0.0409158   18.119   69.3843
504   0.0410437   18.2434   69.8488
505   0.041171   18.3681   70.3148
506   0.0412976   18.4932   70.7824
507   0.0414237   18.6188   71.2516
508   0.0415491   18.7448   71.7224
509   0.0416739   18.8713   72.1948
510   0.0417982   18.9983   72.6688
511   0.0419219   19.1259   73.1444
512   0.042045   19.2541   73.6216
513   0.0421676   19.3829   74.1005
514   0.0422897   19.5124   74.5811
515   0.0424113   19.6425   75.0633
516   0.0425325   19.7734   75.5472
517   0.0426531   19.9051   76.0328
518   0.0427733   20.0375   76.5202
519   0.0428931   20.1708   77.0092
520   0.0430125   20.305   77.5
521   0.0431326   20.4442   77.9934
522   0.0432523   20.5844   78.4885
523   0.0433716   20.7254   78.9854
524   0.0434905   20.8674   79.484
525   0.043609   21.0103   79.9844
526   0.0437271   21.154   80.4865
527   0.0438448   21.2985   80.9904
528   0.0439622   21.4439   81.496
529   0.0440792   21.59   82.0034
530   0.0441958   21.7369   82.5125
531   0.044312   21.8845   83.0234
532   0.0444278   22.0328   83.536
533   0.0445432   22.1818   84.0504
534   0.0446583   22.3313   84.5665
535   0.044773   22.4816   85.0844
536   0.0448873   22.6323   85.604
537   0.0450013   22.7836   86.1254
538   0.0451148   22.9355   86.6485
539   0.0452281   23.0878   87.1734
540   0.0453409   23.2405   87.7
541   0.045455   23.3904   88.23
542   0.0455687   23.5407   88.7618
543   0.045682   23.6914   89.2953
544   0.0457948   23.8424   89.8304
545   0.0459072   23.9939   90.3672
546   0.0460192   24.1458   90.9056
547   0.0461306   24.2981   91.4456
548   0.0462416   24.4509   91.9872
549   0.046352   24.6042   92.5303
550   0.0464619   24.758   93.075
